id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/359944,abalone,PseudoLabel,12h8c,0,regression,-2.11964,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:00,18.1,16.0,0.1,12.0,1110689534,,1.51573,3.0,0.564417,2.11964,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,1,regression,-2.07414,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:16,18.2,16.0,0.2,12.0,1110689535,,1.4103,3.0,0.59174,2.07414,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,2,regression,-2.06589,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:19,20.2,18.1,0.2,12.0,1110689536,,1.51832,4.0,0.593974,2.06589,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,3,regression,-2.05048,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:16,18.3,16.4,0.0,12.0,1110689537,,1.45597,3.0,0.605729,2.05048,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,4,regression,-2.32389,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:36,21.3,19.3,0.0,12.0,1110689538,,1.56928,4.0,0.559575,2.32389,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,5,regression,-2.09066,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:28,19.7,17.7,0.1,12.0,1110689539,,1.472,5.0,0.598359,2.09066,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,6,regression,-1.96628,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:42,21.7,19.5,0.2,12.0,1110689540,,1.38411,4.0,0.587421,1.96628,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,7,regression,-1.88741,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:51,17.2,15.0,0.2,12.0,1110689541,,1.35605,6.0,0.609149,1.88741,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,8,regression,-2.12097,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:33,18.1,16.2,0.0,12.0,1110689542,,1.48905,3.0,0.569943,2.12097,,,,
openml.org/t/359944,abalone,PseudoLabel,12h8c,9,regression,-2.08199,neg_rmse,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:48,16.4,14.5,0.1,12.0,1110689543,,1.49738,5.0,0.551052,2.08199,,,,
openml.org/t/190411,ada,PseudoLabel,12h8c,0,binary,0.931634,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:49,18.3,15.7,0.3,14.0,1110689534,,,6.0,,,0.860241,0.931634,0.757468,0.298195
openml.org/t/190411,ada,PseudoLabel,12h8c,1,binary,0.93319,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:12:57,18.0,15.7,0.1,14.0,1110689535,,,4.0,,,0.862651,0.93319,0.791589,0.27591
openml.org/t/190411,ada,PseudoLabel,12h8c,2,binary,0.898867,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:15,18.8,16.3,0.3,14.0,1110689536,,,4.0,,,0.853012,0.898867,0.778675,0.33799
openml.org/t/190411,ada,PseudoLabel,12h8c,3,binary,0.926095,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:04,17.5,15.3,0.0,14.0,1110689537,,,4.0,,,0.86506,0.926095,0.776932,0.291145
openml.org/t/190411,ada,PseudoLabel,12h8c,4,binary,0.943584,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:13,18.1,15.6,0.4,14.0,1110689538,,,8.0,,,0.893976,0.943584,0.854696,0.263292
openml.org/t/190411,ada,PseudoLabel,12h8c,5,binary,0.914737,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:22,18.3,16.0,0.2,14.0,1110689539,,,6.0,,,0.862651,0.914737,0.778582,0.305716
openml.org/t/190411,ada,PseudoLabel,12h8c,6,binary,0.882126,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:23,18.1,15.7,0.2,14.0,1110689540,,,6.0,,,0.845783,0.882126,0.770616,0.360946
