,model,openml_id,problem_type,accuracy,auc,neg_logloss,neg_MSE,MAE,result,model_score,best_val_score,threshold,metric,max_num_ter
0,New Reg Method,216,regression,,,,-4.378343792468154e-06,-0.0015031142971512065,-4.378343792468154e-06,-0.002092016554942986,-0.0020798396493496144,0.95,root_mean_squared_error,1
1,Pseudo Label,216,regression,,,,-4.394268122789571e-06,-0.0015044538352683365,-4.394268122789571e-06,-0.0020842983062146565,-0.0020637586025000773,0.95,root_mean_squared_error,4
2,Vanilla,216,regression,,,,-4.382929347895075e-06,-0.0015038412667406971,-4.382929347895075e-06,-0.0020935446849530285,-0.002088758187040521,,root_mean_squared_error,0
3,New Reg Method,558,regression,,,,-0.006095891228987776,-0.05085469835470658,-0.006095891228987776,-0.0782422294626644,-0.08096913422544375,0.95,root_mean_squared_error,1
4,Pseudo Label,558,regression,,,,-0.006112904500934499,-0.05084415861729243,-0.006112904500934499,-0.07815184887561837,-0.08103646788104377,0.95,root_mean_squared_error,1
5,Vanilla,558,regression,,,,-0.006126817590935529,-0.0509023684681375,-0.006126817590935529,-0.07827399051367913,-0.08126910936892202,,root_mean_squared_error,0
6,New Reg Method,574,regression,,,,-942882782.1979338,-14967.155339027518,-942882782.1979338,-30706.396437842293,-29992.89440215663,0.95,root_mean_squared_error,0
7,Pseudo Label,574,regression,,,,-942415645.6625677,-14974.981207495095,-942415645.6625677,-30588.611708198816,-29913.54686945777,0.95,root_mean_squared_error,1
8,Vanilla,574,regression,,,,-942882782.1979338,-14967.155339027518,-942882782.1979338,-30706.396437842293,-29992.89440215663,,root_mean_squared_error,0
9,New Reg Method,503,regression,,,,-8.47903722123808,-2.221021314008414,-8.47903722123808,-2.913948637771402,-3.0138099917126118,0.95,root_mean_squared_error,4
10,Pseudo Label,503,regression,,,,-8.493791597441163,-2.226446994537632,-8.493791597441163,-2.9036036663873364,-3.0095813712033164,0.95,root_mean_squared_error,3
11,Vanilla,503,regression,,,,-8.4809212188084,-2.22334527200034,-8.4809212188084,-2.912202125335465,-3.03192455726146,,root_mean_squared_error,0
12,New Reg Method,505,regression,,,,-6.512929445501638,-1.5442193545897804,-6.512929445501638,-2.5552163479952674,-1.7568008492987979,0.95,root_mean_squared_error,2
13,Pseudo Label,505,regression,,,,-5.153304029337311,-1.3012676614522933,-5.153304029337311,-2.163510645393905,-1.498572834197132,0.95,root_mean_squared_error,4
14,Vanilla,505,regression,,,,-7.42671120711029,-1.569366939663887,-7.42671120711029,-2.725199296769007,-2.0240287580987983,,root_mean_squared_error,0
15,New Reg Method,507,regression,,,,-0.010069251781739114,-0.073161930013633,-0.010069251781739114,-0.10014005572875002,-0.10439637835367596,0.95,root_mean_squared_error,2
16,Pseudo Label,507,regression,,,,-0.010068947110400312,-0.07288856937684966,-0.010068947110400312,-0.1004640240923198,-0.10348131538389169,0.95,root_mean_squared_error,3
17,Vanilla,507,regression,,,,-0.01005980958777183,-0.07287143438327522,-0.01005980958777183,-0.10029860212272068,-0.10664040958581149,,root_mean_squared_error,0
18,New Reg Method,528,regression,,,,-0.02069251936328504,-0.124359274488229,-0.02069251936328504,-0.14613755794108907,-0.13167521938456192,0.95,root_mean_squared_error,1
19,Pseudo Label,528,regression,,,,-0.019913439392405693,-0.12052264844454251,-0.019913439392405693,-0.14111498642031503,-0.13448939465544296,0.95,root_mean_squared_error,0
20,Vanilla,528,regression,,,,-0.019913439392405693,-0.12052264844454251,-0.019913439392405693,-0.14111498642031503,-0.13448939465544296,,root_mean_squared_error,0
21,New Reg Method,531,regression,,,,-9.86182002076733,-2.381143874933224,-9.86182002076733,-3.1365394299673617,-2.8674102658458773,0.95,root_mean_squared_error,3
22,Pseudo Label,531,regression,,,,-9.702861003011783,-2.3720940098904153,-9.702861003011783,-3.114941572969192,-3.056221172242615,0.95,root_mean_squared_error,0
23,Vanilla,531,regression,,,,-9.702861003011783,-2.3720940098904153,-9.702861003011783,-3.114941572969192,-3.056221172242615,,root_mean_squared_error,0
24,New Reg Method,537,regression,,,,-1978199973.9231663,-28443.988771423814,-1978199973.9231663,-44438.08893928448,-44488.00146849251,0.95,root_mean_squared_error,2
25,Pseudo Label,537,regression,,,,-1981024946.2238674,-28455.804030780644,-1981024946.2238674,-44508.70640923939,-44737.454836375764,0.95,root_mean_squared_error,0
26,Vanilla,537,regression,,,,-1981024946.2238674,-28455.804030780644,-1981024946.2238674,-44508.70640923939,-44737.454836375764,,root_mean_squared_error,0
27,New Reg Method,541,regression,,,,-284.90505151990186,-5.667991403712856,-284.90505151990186,-16.834110262308876,-14.115310673851672,0.95,root_mean_squared_error,3
28,Pseudo Label,541,regression,,,,-295.18863834151455,-5.702021147734868,-295.18863834151455,-16.653742881371826,-13.56922131072614,0.95,root_mean_squared_error,4
29,Vanilla,541,regression,,,,-296.5998967018655,-5.673941823231354,-296.5998967018655,-17.222075853446515,-14.708616753135152,,root_mean_squared_error,0
30,New Reg Method,546,regression,,,,-0.4508121282754592,-0.5386465570201044,-0.4508121282754592,-0.6714254450610724,-0.6624379464805447,0.95,root_mean_squared_error,0
31,Pseudo Label,546,regression,,,,-0.4508121282754592,-0.5386465570201044,-0.4508121282754592,-0.6714254450610724,-0.6624379464805447,0.95,root_mean_squared_error,0
32,Vanilla,546,regression,,,,-0.4508121282754592,-0.5386465570201044,-0.4508121282754592,-0.6714254450610724,-0.6624379464805447,,root_mean_squared_error,0
33,New Reg Method,547,regression,,,,-0.18704759380197192,-0.3499132745929717,-0.18704759380197192,-0.4316389436516716,-0.4262993784005681,0.95,root_mean_squared_error,4
34,Pseudo Label,547,regression,,,,-0.1884537339304764,-0.35080374281120297,-0.1884537339304764,-0.4343455585809965,-0.43655994978337437,0.95,root_mean_squared_error,2
