,model,openml_id,problem_type,accuracy,auc,neg_logloss,neg_MSE,MAE,result,model_score,best_val_score,threshold,metric,max_num_ter
0,Vanilla,1468,multiclass,0.9166666666666666,,-5.903412199130765,,,-5.903412199130765,,-0.13875990747139355,,nll,0
1,Temperature,1468,multiclass,0.9166666666666666,,-5.235144739901578,,,-5.235144739901578,,-0.13875990747139355,,nll,0
2,Epsilon,1468,multiclass,0.0,,-1.9326731540538646,,,-1.9326731540538646,,-0.13875990747139355,,nll,0
3,Jonas,1468,multiclass,0.9027777777777778,,-5.373577443210201,,,-5.373577443210201,,-0.3269087239538997,,nll,0
4,Jonas_no_holdout,1468,multiclass,0.9027777777777778,,-5.212679592116426,,,-5.212679592116426,,-0.3435908636522733,,nll,0
5,Vanilla,1596,multiclass,0.9757314974182444,,-11.69465276257627,,,-11.69465276257627,,-0.06767135706233501,,nll,0
6,Temperature,1596,multiclass,0.9757314974182444,,-16.23502553164684,,,-16.23502553164684,,-0.06767135706233501,,nll,0
7,Epsilon,1596,multiclass,0.9738382099827882,,-2.057372844957854,,,-2.057372844957854,,-0.06767135706233501,,nll,0
8,Jonas,1596,multiclass,0.9454388984509466,,-5.621819088392588,,,-5.621819088392588,,-0.4714129899256573,,nll,0
9,Jonas_no_holdout,1596,multiclass,0.9497418244406196,,-5.655150225122816,,,-5.655150225122816,,-0.47416987322613907,,nll,0
10,Vanilla,40984,multiclass,0.9761904761904762,,-0.06623788783648021,,,-0.06623788783648021,,-0.06438948194271368,,nll,0
11,Temperature,40984,multiclass,0.9761904761904762,,-0.0808350712615919,,,-0.0808350712615919,,-0.06438948194271368,,nll,0
12,Epsilon,40984,multiclass,0.9761904761904762,,-1.34402155385905,,,-1.34402155385905,,-0.06438948194271368,,nll,0
13,Jonas,40984,multiclass,0.974025974025974,,-0.14076414255881295,,,-0.14076414255881295,,-0.03875254943884874,,nll,0
14,Jonas_no_holdout,40984,multiclass,0.974025974025974,,-0.14076414255881295,,,-0.14076414255881295,,-0.03875254943884874,,nll,0
15,Vanilla,40975,multiclass,0.9913294797687862,,-0.029823129363118574,,,-0.029823129363118574,,-0.002687908441719466,,nll,0
16,Temperature,40975,multiclass,0.9913294797687862,,-0.036707062778939745,,,-0.036707062778939745,,-0.002687908441719466,,nll,0
17,Epsilon,40975,multiclass,0.9913294797687862,,-1.1181618390400285,,,-1.1181618390400285,,-0.002687908441719466,,nll,0
18,Jonas,40975,multiclass,0.9797687861271677,,-0.09215814585802871,,,-0.09215814585802871,,-0.21174315133664226,,nll,0
19,Jonas_no_holdout,40975,multiclass,0.9739884393063584,,-0.08575378962647105,,,-0.08575378962647105,,-0.1972239152860961,,nll,0
20,Vanilla,41163,multiclass,0.996,,-0.010867721222790408,,,-0.010867721222790408,,-0.020979264492534008,,nll,0
21,Temperature,41163,multiclass,0.996,,-0.007838197299051622,,,-0.007838197299051622,,-0.020979264492534008,,nll,0
22,Epsilon,41163,multiclass,0.996,,-1.0469448436498643,,,-1.0469448436498643,,-0.020979264492534008,,nll,0
23,Jonas,41163,multiclass,0.973,,-0.07740717686630297,,,-0.07740717686630297,,-0.264589176875279,,nll,0
24,Jonas_no_holdout,41163,multiclass,0.973,,-0.08150684003976721,,,-0.08150684003976721,,-0.26621412898511154,,nll,0
25,Vanilla,41164,multiclass,0.7330097087378641,,-0.7465409886603949,,,-0.7465409886603949,,-0.7731001606517737,,nll,0
26,Temperature,41164,multiclass,0.0024271844660194173,,-34.454944430045714,,,-34.454944430045714,,-0.7731001606517737,,nll,0
27,Epsilon,41164,multiclass,0.00849514563106796,,-1.9466697625743532,,,-1.9466697625743532,,-0.7731001606517737,,nll,0
28,Jonas,41164,multiclass,0.6966019417475728,,-1.1586936480971506,,,-1.1586936480971506,,-0.9957380355081775,,nll,0
29,Jonas_no_holdout,41164,multiclass,0.6966019417475728,,-1.1597863347586064,,,-1.1597863347586064,,-0.9994896144803727,,nll,0
