,model,openml_id,problem_type,accuracy,auc,neg_logloss,neg_MSE,MAE,result,model_score,best_val_score,threshold,metric,max_num_ter
0,Jonas ECE Pseudo Label,1468,multiclass,0.8194444444444444,,-0.4711530757593681,,,-0.4711530757593681,-0.4711530781092329,-0.4469499199398509,0.95,log_loss,0
1,ECE Pseudo Label,1468,multiclass,0.8148148148148148,,-0.4875589999180563,,,-0.4875589999180563,-0.48516659376521903,-0.41656285461347364,0.95,log_loss,1
2,Pseudo Label,1468,multiclass,0.8148148148148148,,-0.48833366631340513,,,-0.48833366631340513,-0.4875167040499272,-0.4179330255653387,0.95,log_loss,1
3,Vanilla,1468,multiclass,0.8194444444444444,,-0.4711530781092329,,,-0.4711530781092329,-0.4711530781092329,-0.4469499199398509,,log_loss,0
4,Jonas ECE Pseudo Label,40981,binary,0.855072463768116,0.8500844594594593,,,,0.8500844594594593,0.9712837837837838,0.9272236559139785,0.95,roc_auc,0
5,ECE Pseudo Label,40981,binary,0.8623188405797102,0.8578969594594593,,,,0.8578969594594593,0.9706503378378377,0.9299806451612902,0.95,roc_auc,2
6,Pseudo Label,40981,binary,0.8695652173913043,0.8657094594594593,,,,0.8657094594594593,0.9714949324324325,0.9280182795698926,0.95,roc_auc,1
7,Vanilla,40981,binary,0.855072463768116,0.8500844594594593,,,,0.8500844594594593,0.9712837837837838,0.9272236559139785,,roc_auc,0
8,Jonas ECE Pseudo Label,40984,multiclass,0.9848484848484849,,-0.06220249673533072,,,-0.06220249673533072,-0.06220249673533072,-0.07076084238116419,0.95,log_loss,0
9,ECE Pseudo Label,40984,multiclass,0.9848484848484849,,-0.06220249673533072,,,-0.06220249673533072,-0.06220249673533072,-0.07076084238116419,0.95,log_loss,0
10,Pseudo Label,40984,multiclass,0.9848484848484849,,-0.06220249673533072,,,-0.06220249673533072,-0.06220249673533072,-0.07076084238116419,0.95,log_loss,0
11,Vanilla,40984,multiclass,0.9848484848484849,,-0.06220249673533072,,,-0.06220249673533072,-0.06220249673533072,-0.07076084238116419,,log_loss,0
12,Jonas ECE Pseudo Label,40975,multiclass,0.9884393063583815,,-0.026186895903390416,,,-0.026186895903390416,-0.026186895903390416,-0.016379637636095304,0.95,log_loss,0
13,ECE Pseudo Label,40975,multiclass,0.9884393063583815,,-0.032312300252127314,,,-0.032312300252127314,-0.030771759299700416,-0.01481339514107973,0.95,log_loss,1
14,Pseudo Label,40975,multiclass,0.9884393063583815,,-0.026186895903390416,,,-0.026186895903390416,-0.026186895903390416,-0.016379637636095304,0.95,log_loss,0
15,Vanilla,40975,multiclass,0.9884393063583815,,-0.026186895903390416,,,-0.026186895903390416,-0.026186895903390416,-0.016379637636095304,,log_loss,0
16,Jonas ECE Pseudo Label,41163,multiclass,0.993,,-0.016170105021820688,,,-0.016170105021820688,-0.016170105021820688,-0.02763996236191077,0.95,log_loss,0
17,ECE Pseudo Label,41163,multiclass,0.995,,-0.014893833071483585,,,-0.014893833071483585,-0.013742117309901943,-0.02425939430087288,0.95,log_loss,1
18,Pseudo Label,41163,multiclass,0.995,,-0.013153388714327719,,,-0.013153388714327719,-0.012035438024587933,-0.023128931232425463,0.95,log_loss,4
