,model,openml_id,problem_type,accuracy,auc,neg_logloss,neg_MSE,MAE,result,model_score,best_val_score,threshold,metric,max_num_ter
0,Vanilla,40496,multiclass,0.73,,-0.9193211932294071,,,-0.9193211932294071,,-0.8877442879136652,,nll,0
1,Ensemble_Pseudo,40496,multiclass,0.73,,-0.9478211884759367,,,-0.9478211884759367,,-0.8676504394738004,,nll,0
2,Vanilla,333,binary,0.990990990990991,0.9903846153846153,,,,0.9903846153846153,,1.0,,roc_auc,0
3,Ensemble_Pseudo,333,binary,1.0,1.0,,,,1.0,,1.0,,roc_auc,0
4,Vanilla,1468,multiclass,0.9305555555555556,,-6.0846713108045085,,,-6.0846713108045085,,-0.1336817413200409,,nll,0
5,Ensemble_Pseudo,1468,multiclass,0.9259259259259259,,-6.151733759652685,,,-6.151733759652685,,-0.12707417644640245,,nll,0
6,Vanilla,1596,multiclass,0.9753872633390706,,-11.721349071536418,,,-11.721349071536418,,-0.06794765701213137,,nll,0
7,Ensemble_Pseudo,1596,multiclass,0.976592082616179,,-11.863340456116457,,,-11.863340456116457,,-0.06799235484522587,,nll,0
8,Vanilla,40981,binary,0.8768115942028986,0.8724662162162162,,,,0.8724662162162162,,0.9795209996528983,,roc_auc,0
9,Ensemble_Pseudo,40981,binary,0.8768115942028986,0.8735219594594593,,,,0.8735219594594593,,0.9819507115584867,,roc_auc,0
10,Vanilla,40984,multiclass,0.9761904761904762,,-0.06623788783648021,,,-0.06623788783648021,,-0.06438948194271368,,nll,0
11,Ensemble_Pseudo,40984,multiclass,0.9805194805194806,,-0.0640635346858112,,,-0.0640635346858112,,-0.06253182289628721,,nll,0
12,Vanilla,40975,multiclass,0.9913294797687862,,-0.029823129363118574,,,-0.029823129363118574,,-0.002687908441719466,,nll,0
13,Ensemble_Pseudo,40975,multiclass,0.9913294797687862,,-0.03590433677913399,,,-0.03590433677913399,,-0.003435913193287397,,nll,0
14,Vanilla,41163,multiclass,0.996,,-0.013334930429798476,,,-0.013334930429798476,,-0.018128672561420336,,nll,0
15,Ensemble_Pseudo,41163,multiclass,0.997,,-0.016339078833703582,,,-0.016339078833703582,,-0.02029102597812002,,nll,0
