,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.9963636363636363,0.25,,,
1,Pseudo-Label,WeightedEnsemble_L2,0.9963636363636363,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.9981818181818182,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.9945454545454545,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.9927272727272727,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.9963636363636363,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.9945454545454545,0.25,0.75,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.9945454545454545,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.9963636363636363,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.9954504094631483,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.9954504094631483,0.5,0.5,True,
11,Pseudo-Label,WeightedEnsemble_L2,0.9927206551410374,0.5,0.75,True,
12,Pseudo-Label,NeuralNetFastAI,0.9927206551410374,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.9945404913557779,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.9927206551410374,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.9945404913557779,0.5,0.75,False,
16,Pseudo-Label,WeightedEnsemble_L2,0.9945404913557779,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.9945404913557779,0.5,0.95,False,
18,Vanilla,WeightedEnsemble_L2,0.992116434202547,0.75,,,
19,Pseudo-Label,NeuralNetFastAI,0.9933292904790783,0.75,0.5,True,
20,Pseudo-Label,NeuralNetFastAI,0.9915100060642814,0.75,0.75,True,
21,Pseudo-Label,NeuralNetFastAI,0.9927228623408126,0.75,0.9,True,
22,Pseudo-Label,WeightedEnsemble_L2,0.9939357186173439,0.75,0.95,True,
23,Pseudo-Label,WeightedEnsemble_L2,0.9945421467556095,0.75,0.5,False,
24,Pseudo-Label,WeightedEnsemble_L2,0.9939357186173439,0.75,0.75,False,
25,Pseudo-Label,NeuralNetFastAI,0.992116434202547,0.75,0.9,False,
26,Pseudo-Label,NeuralNetMXNet,0.9933292904790783,0.75,0.95,False,
27,Vanilla,LightGBMXT,0.9329501915708812,0.95,,,
28,Pseudo-Label,NeuralNetFastAI,0.9554597701149425,0.95,0.5,True,
29,Pseudo-Label,NeuralNetFastAI,0.960727969348659,0.95,0.75,True,
30,Pseudo-Label,WeightedEnsemble_L2,0.9454022988505747,0.95,0.9,True,
31,Pseudo-Label,NeuralNetFastAI,0.9545019157088123,0.95,0.95,True,
32,Pseudo-Label,WeightedEnsemble_L2,0.9540229885057471,0.95,0.5,False,
33,Pseudo-Label,NeuralNetFastAI,0.9540229885057471,0.95,0.75,False,
34,Pseudo-Label,NeuralNetMXNet,0.9559386973180076,0.95,0.9,False,
35,Pseudo-Label,WeightedEnsemble_L2,0.9578544061302682,0.95,0.95,False,
