,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse
0,Vanilla,WeightedEnsemble_L2,0.8692400087355318,0.25,,
1,Pseudo-Label,WeightedEnsemble_L2,0.8715603843633981,0.25,0.5,True
2,Pseudo-Label,WeightedEnsemble_L2,0.8721063550993666,0.25,0.75,True
3,Pseudo-Label,WeightedEnsemble_L2,0.8665101550556891,0.25,0.9,True
4,Pseudo-Label,WeightedEnsemble_L2,0.8687213365363616,0.25,0.95,True
5,Pseudo-Label,WeightedEnsemble_L2,0.8716968770473903,0.25,0.5,False
6,Pseudo-Label,WeightedEnsemble_L2,0.8689943219043459,0.25,0.75,False
7,Pseudo-Label,WeightedEnsemble_L2,0.8697859794715004,0.25,0.9,False
8,Pseudo-Label,WeightedEnsemble_L2,0.8709871150906311,0.25,0.95,False
9,Vanilla,WeightedEnsemble_L2,0.8710536014086238,0.5,,
10,Pseudo-Label,WeightedEnsemble_L2,0.8685966995618525,0.5,0.5,True
11,Pseudo-Label,WeightedEnsemble_L2,0.8693747184799967,0.5,0.75,True
12,Pseudo-Label,WeightedEnsemble_L2,0.8697023053928995,0.5,0.9,True
13,Pseudo-Label,WeightedEnsemble_L2,0.870398427582818,0.5,0.95,True
14,Pseudo-Label,WeightedEnsemble_L2,0.8694975635723353,0.5,0.5,False
15,Pseudo-Label,WeightedEnsemble_L2,0.8697842021211253,0.5,0.75,False
16,Pseudo-Label,WeightedEnsemble_L2,0.869866098849351,0.5,0.9,False
17,Pseudo-Label,WeightedEnsemble_L2,0.8700298923058024,0.5,0.95,False
18,Vanilla,WeightedEnsemble_L2,0.8728091728091728,0.75,,
19,Pseudo-Label,WeightedEnsemble_L2,0.8703521703521704,0.75,0.5,True
20,Pseudo-Label,WeightedEnsemble_L2,0.8717444717444718,0.75,0.75,True
21,Pseudo-Label,WeightedEnsemble_L2,0.8724815724815724,0.75,0.9,True
22,Pseudo-Label,WeightedEnsemble_L2,0.8718263718263718,0.75,0.95,True
23,Pseudo-Label,WeightedEnsemble_L2,0.8704340704340704,0.75,0.5,False
24,Pseudo-Label,WeightedEnsemble_L2,0.8729729729729729,0.75,0.75,False
25,Pseudo-Label,WeightedEnsemble_L2,0.8714168714168714,0.75,0.9,False
26,Pseudo-Label,WeightedEnsemble_L2,0.8730548730548731,0.75,0.95,False
27,Vanilla,WeightedEnsemble_L2,0.8804258804258804,0.95,,
28,Pseudo-Label,WeightedEnsemble_L2,0.8828828828828829,0.95,0.5,True
29,Pseudo-Label,LightGBM,0.8837018837018837,0.95,0.75,True
30,Pseudo-Label,WeightedEnsemble_L2,0.8824733824733825,0.95,0.9,True
31,Pseudo-Label,WeightedEnsemble_L2,0.8853398853398854,0.95,0.95,True
32,Pseudo-Label,WeightedEnsemble_L2,0.8808353808353808,0.95,0.5,False
33,Pseudo-Label,WeightedEnsemble_L2,0.8824733824733825,0.95,0.75,False
34,Pseudo-Label,WeightedEnsemble_L2,0.8857493857493858,0.95,0.9,False
35,Pseudo-Label,WeightedEnsemble_L2,0.8816543816543817,0.95,0.95,False
