,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse
0,Vanilla,XGBoost,0.8683937540947805,0.25,,
1,Pseudo-Label,XGBoost,0.8676293950644246,0.25,0.5,True
2,Pseudo-Label,WeightedEnsemble_L2,0.8682026643371915,0.25,0.75,True
3,Pseudo-Label,WeightedEnsemble_L2,0.868612142389168,0.25,0.9,True
4,Pseudo-Label,WeightedEnsemble_L2,0.8690489189779428,0.25,0.95,True
5,Pseudo-Label,WeightedEnsemble_L2,0.8688032321467569,0.25,0.5,False
6,Pseudo-Label,WeightedEnsemble_L2,0.867847783358812,0.25,0.75,False
7,Pseudo-Label,WeightedEnsemble_L2,0.8650633326053724,0.25,0.9,False
8,Pseudo-Label,WeightedEnsemble_L2,0.8690489189779428,0.25,0.95,False
9,Vanilla,WeightedEnsemble_L2,0.8710536014086238,0.5,,
10,Pseudo-Label,WeightedEnsemble_L2,0.8687195446541911,0.5,0.5,True
11,Pseudo-Label,WeightedEnsemble_L2,0.8688833381106424,0.5,0.75,True
12,Pseudo-Label,WeightedEnsemble_L2,0.870685066131608,0.5,0.9,True
13,Pseudo-Label,WeightedEnsemble_L2,0.8694566152082225,0.5,0.95,True
14,Pseudo-Label,WeightedEnsemble_L2,0.8674910937308055,0.5,0.5,False
15,Pseudo-Label,WeightedEnsemble_L2,0.8692109250235454,0.5,0.75,False
16,Pseudo-Label,WeightedEnsemble_L2,0.8705622210392695,0.5,0.9,False
17,Pseudo-Label,WeightedEnsemble_L2,0.8708079112239466,0.5,0.95,False
18,Vanilla,WeightedEnsemble_L2,0.8722358722358723,0.75,,
19,Pseudo-Label,WeightedEnsemble_L2,0.8727272727272727,0.75,0.5,True
20,Pseudo-Label,WeightedEnsemble_L2,0.8716625716625717,0.75,0.75,True
21,Pseudo-Label,WeightedEnsemble_L2,0.8741195741195741,0.75,0.9,True
22,Pseudo-Label,WeightedEnsemble_L2,0.8724815724815724,0.75,0.95,True
23,Pseudo-Label,WeightedEnsemble_L2,0.8709254709254709,0.75,0.5,False
24,Pseudo-Label,WeightedEnsemble_L2,0.8709254709254709,0.75,0.75,False
25,Pseudo-Label,WeightedEnsemble_L2,0.8731367731367732,0.75,0.9,False
26,Pseudo-Label,WeightedEnsemble_L2,0.8732186732186732,0.75,0.95,False
27,Vanilla,WeightedEnsemble_L2,0.8804258804258804,0.95,,
28,Pseudo-Label,WeightedEnsemble_L2,0.8841113841113841,0.95,0.5,True
29,Pseudo-Label,WeightedEnsemble_L2,0.8845208845208845,0.95,0.75,True
30,Pseudo-Label,WeightedEnsemble_L2,0.8796068796068796,0.95,0.9,True
31,Pseudo-Label,WeightedEnsemble_L2,0.8837018837018837,0.95,0.95,True
32,Pseudo-Label,WeightedEnsemble_L2,0.8832923832923832,0.95,0.5,False
33,Pseudo-Label,WeightedEnsemble_L2,0.8824733824733825,0.95,0.75,False
34,Pseudo-Label,WeightedEnsemble_L2,0.8824733824733825,0.95,0.9,False
35,Pseudo-Label,WeightedEnsemble_L2,0.8861588861588862,0.95,0.95,False
