,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.9692149820420729,0.25,,,
1,Pseudo-Label,WeightedEnsemble_L2,0.9697280656747049,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.9722934838378656,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.9728065674704977,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.9681888147768086,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.9681888147768086,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.9697280656747049,0.25,0.75,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.9728065674704977,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.9697280656747049,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.9563878912262699,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.9604925602873269,0.5,0.5,True,
11,Pseudo-Label,WeightedEnsemble_L2,0.961518727552591,0.5,0.75,True,
12,Pseudo-Label,NeuralNetFastAI,0.9556182657773217,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.9594663930220626,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.9633145202668035,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.9579271421241662,0.5,0.75,False,
16,Pseudo-Label,WeightedEnsemble_L2,0.9648537711646998,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.961262185736275,0.5,0.95,False,
18,Vanilla,WeightedEnsemble_L2,0.9449384404924761,0.75,,,
19,Pseudo-Label,WeightedEnsemble_L2,0.9504103967168263,0.75,0.5,True,
20,Pseudo-Label,WeightedEnsemble_L2,0.9487004103967168,0.75,0.75,True,
21,Pseudo-Label,NeuralNetFastAI,0.9386114911080712,0.75,0.9,True,
22,Pseudo-Label,WeightedEnsemble_L2,0.9492134062927496,0.75,0.95,True,
23,Pseudo-Label,WeightedEnsemble_L2,0.9418604651162791,0.75,0.5,False,
24,Pseudo-Label,WeightedEnsemble_L2,0.9487004103967168,0.75,0.75,False,
25,Pseudo-Label,WeightedEnsemble_L2,0.9403214774281806,0.75,0.9,False,
26,Pseudo-Label,WeightedEnsemble_L2,0.95109439124487,0.75,0.95,False,
27,Vanilla,WeightedEnsemble_L2,0.8378560820845147,0.95,,,
28,Pseudo-Label,NeuralNetFastAI,0.8297556365600108,0.95,0.5,True,
29,Pseudo-Label,WeightedEnsemble_L2,0.7865532604293236,0.95,0.75,True,
30,Pseudo-Label,WeightedEnsemble_L2,0.7906034831915756,0.95,0.9,True,
31,Pseudo-Label,WeightedEnsemble_L2,0.7906034831915756,0.95,0.95,True,
32,Pseudo-Label,NeuralNetFastAI,0.8232752801404077,0.95,0.5,False,
33,Pseudo-Label,NeuralNetFastAI,0.7729175104630754,0.95,0.75,False,
34,Pseudo-Label,WeightedEnsemble_L2,0.7980288915890374,0.95,0.9,False,
35,Pseudo-Label,WeightedEnsemble_L2,0.7810179559875793,0.95,0.95,False,
