,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.756,0.25,,,
1,Pseudo-Label,WeightedEnsemble_L2,0.708,0.25,0.5,True,
2,Pseudo-Label,NeuralNetFastAI,0.736,0.25,0.75,True,
3,Pseudo-Label,NeuralNetFastAI,0.348,0.25,0.9,True,
4,Pseudo-Label,NeuralNetFastAI,0.348,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.74,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.74,0.25,0.75,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.704,0.25,0.9,False,
8,Pseudo-Label,NeuralNetFastAI,0.324,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.754,0.5,,,
10,Pseudo-Label,CatBoost,0.722,0.5,0.5,True,
11,Pseudo-Label,CatBoost,0.722,0.5,0.75,True,
12,Pseudo-Label,WeightedEnsemble_L2,0.74,0.5,0.9,True,
13,Pseudo-Label,NeuralNetFastAI,0.718,0.5,0.95,True,
14,Pseudo-Label,CatBoost,0.722,0.5,0.5,False,
15,Pseudo-Label,CatBoost,0.722,0.5,0.75,False,
16,Pseudo-Label,NeuralNetFastAI,0.714,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.702,0.5,0.95,False,
18,Vanilla,RandomForestGini,0.7586666666666667,0.75,,,
19,Pseudo-Label,NeuralNetFastAI,0.6893333333333334,0.75,0.5,True,
20,Pseudo-Label,WeightedEnsemble_L2,0.7133333333333334,0.75,0.75,True,
21,Pseudo-Label,WeightedEnsemble_L2,0.7373333333333333,0.75,0.9,True,
22,Pseudo-Label,NeuralNetFastAI,0.3506666666666667,0.75,0.95,True,
23,Pseudo-Label,ExtraTreesEntr,0.744,0.75,0.5,False,
24,Pseudo-Label,NeuralNetFastAI,0.5533333333333333,0.75,0.75,False,
25,Pseudo-Label,CatBoost,0.7,0.75,0.9,False,
26,Pseudo-Label,NeuralNetFastAI,0.36533333333333334,0.75,0.95,False,
27,Vanilla,CatBoost,0.6578947368421053,0.95,,,
28,Pseudo-Label,LightGBMXT,0.6747368421052632,0.95,0.5,True,
29,Pseudo-Label,RandomForestGini,0.6821052631578948,0.95,0.75,True,
30,Pseudo-Label,RandomForestGini,0.6821052631578948,0.95,0.9,True,
31,Pseudo-Label,RandomForestGini,0.6821052631578948,0.95,0.95,True,
32,Pseudo-Label,LightGBMXT,0.6631578947368421,0.95,0.5,False,
33,Pseudo-Label,RandomForestGini,0.6673684210526316,0.95,0.75,False,
34,Pseudo-Label,RandomForestGini,0.6821052631578948,0.95,0.9,False,
35,Pseudo-Label,RandomForestGini,0.7042105263157895,0.95,0.95,False,
